lng,lat
-90.07636862,29.9598079
-90.07638593,29.95984993
-90.07641984,29.95982738
-90.07638088,29.95979306
-90.07638088,29.95979306
-90.07636862,29.9598079
-90.07638088,29.95979306
-90.07621198,29.95997717
-90.07621198,29.95997717
-90.07626089,29.9599284
-90.07630347,29.95988105
-90.07620091,29.95999014
-90.07620091,29.95999014
-90.07620091,29.95999014
-90.07620091,29.95999014
-90.0762455,29.95994433
-90.07620091,29.95999014
-90.07618893,29.96000329
-90.07647366,29.95997045
-90.07650664,29.95993841
-90.07650664,29.95993841
-90.07649107,29.95988092
-90.07642,29.95994678
-90.07650667,29.95989031
-90.0764069,29.95996098
-90.07643779,29.95992537
-90.07642,29.95994678
-90.0764069,29.95996098
-90.07639586,29.95997429
-90.07639586,29.95997429
-90.07643779,29.95992537
-90.07643779,29.95992537
-90.07638281,29.95998932
-90.07647502,29.95986956
-90.07638281,29.95998932
-90.07638281,29.95998932
-90.07636425,29.95995416
-90.07635133,29.95996717
-90.07645982,29.95985795
-90.07636425,29.95995416
-90.07639113,29.95992677
-90.07639113,29.95992677
-90.07635133,29.95996717
-90.07634003,29.9599823
-90.07639113,29.95992677
-90.07639113,29.95992677
-90.07639113,29.95992677
-90.07639113,29.95992677
-90.07553552,29.96003216
-90.07553413,29.96001695
-90.07552479,29.9600106
-90.07551685,29.96001947
-90.07551685,29.96001947
-90.07552618,29.96002581
-90.07552618,29.96002581
-90.07562519,29.96011109
-90.07566017,29.96013342
-90.07551685,29.96001947
-90.07551685,29.96001947
-90.07552758,29.96004102
-90.07552758,29.96004102
-90.07566017,29.96013342
-90.07561387,29.96012474
-90.07551824,29.96003467
-90.0755089,29.96002833
-90.07550096,29.96003719
-90.07550096,29.96003719
-90.07551963,29.96004988
-90.0755103,29.96004353
-90.07551169,29.96005874
-90.07550096,29.96003719
-90.07549302,29.96004605
-90.07560658,29.96015009
-90.07550236,29.96005239
-90.07550236,29.96005239
-90.07564392,29.9598777
-90.07564392,29.9598777
-90.07565326,29.95988404
-90.07564392,29.9598777
-90.07597442,29.96012465
-90.07597442,29.96012465
-90.07594106,29.96010189
-90.07564531,29.9598929
-90.07564531,29.9598929
-90.07565465,29.95989925
-90.07583949,29.96004439
-90.07577646,29.9600036
-90.07564531,29.9598929
-90.07563598,29.95988656
-90.07554861,29.95998403
-90.07587146,29.96006931
-90.07555795,29.95999037
-90.07554067,29.95999289
-90.07555934,29.96000557
-90.07555001,29.95999923
-90.07553273,29.96000174
-90.07553273,29.96000174
-90.0755514,29.96001443
-90.07554207,29.96000809
-90.07554346,29.96002329
-90.07599859,29.96009936
-90.07599859,29.96009936
-90.07580896,29.9599699
-90.07596837,29.96007426
-90.07566914,29.95986632
-90.0756598,29.95985998
-90.07567847,29.95987266
-90.07589834,29.9600396
-90.07589834,29.9600396
-90.07589834,29.9600396
-90.07589834,29.9600396
-90.07595514,29.9600872
-90.07589834,29.9600396
-90.07589834,29.9600396
-90.07567053,29.95988153
-90.07567053,29.95988153
-90.07567053,29.95988153
-90.07565186,29.95986884
-90.07565186,29.95986884
-90.07567053,29.95988153
-90.0756612,29.95987518
-90.0758857,29.96005511
-90.0758857,29.96005511
-90.07565186,29.95986884
-90.0758857,29.96005511
-90.07566259,29.95989039
-90.0759247,29.96001187
-90.0759247,29.96001187
-90.0759247,29.96001187
-90.0759247,29.96001187
-90.07601166,29.96008153
-90.0759823,29.96005602
-90.07601166,29.96008153
-90.07567569,29.95984225
-90.07569436,29.95985494
-90.07568502,29.9598486
-90.07587632,29.96000248
-90.07587632,29.96000248
-90.07587632,29.96000248
-90.07587632,29.96000248
-90.07587632,29.96000248
-90.07587632,29.96000248
-90.07587632,29.96000248
-90.07587632,29.96000248
-90.07587632,29.96000248
-90.07587632,29.96000248
-90.07587632,29.96000248
-90.07568642,29.9598638
-90.07567708,29.95985746
-90.07587632,29.96000248
-90.07566774,29.95985112
-90.07567708,29.95985746
-90.07567708,29.95985746
-90.07570746,29.95980681
-90.07572613,29.9598195
-90.07571679,29.95981316
-90.07569951,29.95981567
-90.07571818,29.95982836
